,Date,User,Tweet
26,2022-06-30 11:06:52+00:00,Mo79505016,"@NupurSharmaBJP Too late for that, enjoy ur doing"
27,2022-06-30 11:06:46+00:00,KJBINAYPAUL,@madhukishwar @NupurSharmaBJP @BJP4India Lady. You need help
28,2022-06-30 11:05:54+00:00,sumeshkapoor,"@AdnanAliKhan555 Gyanvapi dabaya nupur Sharma ke sath, nupur Sharma dabaya agniveer ke sath, agniveer dabaye bulldozer aur Maharashtra ke sath aur zubair sirf tweetvir ko dabane ke lie kia hai."
29,2022-06-30 11:05:49+00:00,drshivalik,@NeerajDeogade @ANI Oh yes just write once what nupur Sharma has said in press conference!! Then will see kaun khatre mein hai!!!
30,2022-06-30 11:05:37+00:00,Sibasisamantray,"Now I'm eagerly waiting to see how Mumbai police is interrogating Nupur Sharma. (Earlier they had summoned her)
@coolfunnytshirt"
31,2022-06-30 11:05:33+00:00,AdvTohed,"@MohammadKaif What nupur sharma did is allow in any civilized world?
Leave hypocrisy"
32,2022-06-30 11:05:05+00:00,imsimplified_01,"@ishtiaq787 @NupurSharmaBJP @AskAnshul @officeofJsrs According to you murdering someone makes anyone terrorists...
Jaake logic theek krle apna !!"
33,2022-06-30 11:05:05+00:00,sasmita_09,"@Reshmakt_ @svaradarajan @DCP_CCC_Delhi @DelhiPolice 😂 meltdown..Awww. Nupur Sharma had also told the facts, then why are you crying ? See now here you compared Shiva Linga with a male genital part, and on such an objectionable statement from Tasleem Rehmani in a news debate Nupur told the facts. You guys went after her beheading"
34,2022-06-30 11:04:58+00:00,itxdareenkhan,"بھا*تی ھندو کےقتل پرماتم کرنےوالےاس وقت کہاں مرگئےتھےجب پورےبھارت سمیت کشمیرمیں مسلمانوں کاقتل عام ہورھا تھازبردستی جئےشری رام کی نعرے لگوائےجارھےتھے مسلمان عورتوں کوقتل  کیاجارھا تھا بھارتی کتتتےاپنی زبانوں کولگام دیں
#سازش_ہی_تھی
#rain
#UkraineUnderAttaсk 
#NupurSharma https://t.co/MPL6MdovqJ"
35,2022-06-30 11:04:39+00:00,sadhuvaad,"Muslim countries have some shame @POTUS  develop spine , condemn killing by islamist for just post or supporting nupur sharma who stated fact"
36,2022-06-30 11:04:35+00:00,SubhashCRana,"🌹🌹जय श्री राम 🌹🙏🚩
क्या से क्या हो गया ?

त्रिदेवी का श्राप ले उड़ा अब जल्दी पंगा नहीं लेगा। कांग्रेस,एनसीपी के दबाव में काम करना भारी पड़ गया।
@KangnaRanaut___ 
@NavneetKourRana
@NupurSharmaBJP 
🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹 https://t.co/HUOOdlaJ2C"
37,2022-06-30 11:04:21+00:00,amitmittal01,Now @NupurSharmaBJP should also be made minister in Maharashtra :)
38,2022-06-30 11:03:53+00:00,__MunnaJi,@Deepak25189 @Tiger_AAP @vikasbha Sabse badi juthi toh modi sarkar hai jisne nupur sharma ko party se nikal diya aur uspar FIR kar di.
39,2022-06-30 11:03:50+00:00,ishtiaq787,"@imsimplified_01 @NupurSharmaBJP @AskAnshul @officeofJsrs Godse was a terrorist or not?
Just Answer simply."
40,2022-06-30 11:03:49+00:00,ranjot_rana,@narendramodi Modi Saab nupur sharma par abhi tak koi karwai kyon nahi hui iss ka jawab India maang raha hai
41,2022-06-30 11:03:41+00:00,ankit462,@mohanreports can I abuse you or any community and call it a free speech ? why  zubair have not told complete truth about debate ? insulting hindu gods is called free speech ? Who was opposite to Nupur Sharma in debate and what he told ? Why zubair haven't shared complete debate ?
42,2022-06-30 11:03:31+00:00,kapil_siddharth,@RanaUsama112233 @UnSubtleDesi @NupurSharmaBJP @geertwilderspvv Bastard tweets from a safe haven.....
43,2022-06-30 11:03:25+00:00,naseera66456394,@askrajeshsahu @Ravalkalpesh_s Yahi police Nupur Sharma Navin Jindal ka pata nahi janti
44,2022-06-30 11:03:21+00:00,RahulSi17124104,@ReallySwara But you are supporting.. Shivsena.. You're supporting his governnece.. To kisi karykarta ne bhej diya hoga.. Vaise kanhaiya lal mar diya hai.. Nupur sharma or Naveen jindal ko hajaro dhamkiya aa rahi hai.. Shikayat kijiye OR surakshit rahiye
45,2022-06-30 11:02:18+00:00,medicaldialogs,Maha: Medical Equipment seller beheaded for allegedly supporting Nupur Sharma's post #medicalprofessional #businessman #medicalequipmenttrading #beheaded #NupurSharma #derogatoryremarks #ProphetMuhammed #killed #Murder #UmeshKolhe https://t.co/bLCAbUX5Cx
46,2022-06-30 11:01:29+00:00,CricketerLaljee,"@AartiPr10862810 @NupurSharmaBJP बहन समाज के हो इस लिए अपको  सम्मान दे रहा हूँ 
वरना आपकी बातो  जो इसमें लिखी हो इसका जवाब दिया जा सकता है ।"
47,2022-06-30 11:01:24+00:00,M_KUMAR55,"@Sanjay_Dixit @HMOIndia @PMOIndia I can't imagine our govt bow down before Jihadists and suspended #NupurSharma which fuel the confidence of customer to beheading.
According to Islam if you Jail Her on Blasphemy then after release they will make attempt also.
This is written in Holi scriptures they will kill u"
48,2022-06-30 11:01:13+00:00,TheNewsFarmers,"Urfi Javed receives death stress for her statement on Kanhaiya Lal's murder
#urfijaved #urfi #latestnews #newsfarmers #deaththreats #mumbaipolice #udaipurkilling #kanhaiyalal #nupursharma #uorfijaved https://t.co/nZBAQHsorf"
49,2022-06-30 11:01:00+00:00,kane_willa,"Please say it direct, 

Because of Zubair n Altnews, 
Nupur Sharma's video has been reached to worldwide, 

Later on, because of pressure from Middle East, 

Your Abba Jaan Fekam Das has to fire her and also said Sorry to Middle East People, 

Ye Gaav Bahut Chubha He Na
😂😂😂😂 https://t.co/JzJwKRoGTr"
50,2022-06-30 11:00:32+00:00,iKnightRider19,"@timesofindia officially become Jihadis Advocate.

They are comparing @NupurSharmaBJP speech with #KanhaiyaLal beheading.

Absolutely Sick this @vineetjaintimes media house !!

@RShivshankar @navikakumar @SushantBSinha boss apka dimaag kho baitha hai.

@iMac_too @BefittingFacts https://t.co/40WEbb7CBt"
51,2022-06-30 10:59:37+00:00,MonuSha33041119,@Manuhindu007 @_VartikaIND @NupurSharmaBJP @narendramodi @HMOIndia @KapilMishra_IND @TajinderBagga @ippatel Ye sale sab halala ki paidaish hote hein
52,2022-06-30 10:59:35+00:00,indiaisrael_uk,"So what Nupur Sharma in India say ?
The truth maybe ?
https://t.co/oqJSB6ENlB

@HannahEP
@nickcohen4
@patrickwintour
@nesrinemalik
@guardianworld @guardianopinion 
@DouglasKMurray @GBNEWS @ThatAlexWoman @BoozeAndFagz"
53,2022-06-30 10:59:31+00:00,Ahmedja28054256,@AdityaT79695625 @shamkhede @ahmedtells @tehseenp I condem rajashthan ghatna and culpurit must be behind jail and fansi but what about nupur sharma still free why
54,2022-06-30 10:59:29+00:00,Nehap_India,@AdityaRajKaul Why in first place he was arrested??? Supporting Nupur sharma is a new crime??
55,2022-06-30 10:59:24+00:00,imsimplified_01,"@ishtiaq787 @NupurSharmaBJP @AskAnshul @officeofJsrs Was that done bcz Gandhi was hindu or muslim??? It was not done bcz of religion basis, Have some comman sense dude..."
56,2022-06-30 10:58:47+00:00,MrZiDdi55262252,@ImViiru Nupur sharma kidher hai??
57,2022-06-30 10:58:44+00:00,Ash_king97,"कन्हैया लाल जी के बाद हरियाणा में विक्की भारद्वाज को इस्लामिक आतंकियों ने तेजधार हथियार से छाती को बेरहमी से चीर डाला ।
#IslamicTerrorismInIndia #उदयपुर 
#Udaipur #NupurSharma #JusticeForKanhaiyaLal #UddhavThackarey https://t.co/WKbeeCNMzl"
58,2022-06-30 10:58:27+00:00,Omprakash_7493,"@NayakRagini You and your lobby had shared the clips of nupur sharma for what? 
#hypocracy"
59,2022-06-30 10:58:19+00:00,IndianMuslim666,@ManishK82441091 @MurshidReza4 @DelhiPolice @chitraaum @ArvindKejriwal Ya atangwadi tho jail ma hai.. hor hona bhi chaiya.. but unfortunately #Nupursharma abhi nahi ho payi arrest.. #ArrestNupurSharma #IStandWithZubair
60,2022-06-30 10:57:41+00:00,ishtiaq787,"@imsimplified_01 @NupurSharmaBJP @AskAnshul @officeofJsrs Okay fine, if that been the case, then what's your opinion about the first Terrorist of India #nathuramgodse Who assassinated and killed father of the nation Mahatma Gandhi?
Will you condemned his Act or blame his religion?"
61,2022-06-30 10:57:09+00:00,changu311,"@fahadmh You have shifted all the blame on Nupur Sharma’s words spoken but did not uttered anything about the other tv debater who passed derogatory comments. Islam should practise Pluralism, that’s basic need in today’s world."
62,2022-06-30 10:57:02+00:00,tusharzzz83,"@imAlokDwivedi Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? Yehi hai hindu rashtra? Kanpur mein dange kyo hue thae kyunki zabardasti hinduo ki shop band karvayi thi, bharat band karvayo attankiyo ki pechan ho jayegi"
63,2022-06-30 10:56:44+00:00,humanity650,"@Asgardian_Sid @mohinisingh4865 @MdRaqueeb17 @manakgupta Are bhai,abhi to nupur sharma k bayan par aapke prophet Mohammed ki beijjati pure world me hui tab to sab ek sath the
Aaj kyo ek dusre se alag bhag rahe ho
Doglapanti me PhD kiye ho kya?"
64,2022-06-30 10:56:42+00:00,Abhishe98989996,"@MdNaushadUsman1 @ArvindKejriwal Muslim virodhi aur Hindu virodhi kya hota hai bee?? Jo galat hai wo galat hai chahe jobhi ho, nupur Sharma ne jo bola wo bs whi bola jo likha hua hai lekin jo Akbaruddin Owaisi ne bola tha Hindu bhagwan ke bare wo kya shi bola tha???? Pehle apne gireban me jhak ke dekho."
65,2022-06-30 10:56:37+00:00,timepassdotcom,@sha_blah @dahrinoor2 @zahacktanvir @NupurSharmaBJP Then why are the cult followers so angry with Nupur? Are they ashamed of your Pr@phet??
66,2022-06-30 10:56:35+00:00,VivekNe36346898,"@thridhivin Another muslim mutual friend more like ex muslim he supported nupur Sharma then was beaten, forcefully recited quran and taken to jail he was from Bhiwandi"
67,2022-06-30 10:56:34+00:00,chinnakurvi,@virsanghvi I missed your Bhashan against the hate mails of rape and death threats to Nupur Sharma.
